seed,split,model,graph,episode,auroc,auprc,pos_frac
2,loeo,gat,functional,2016-09,0.40601884466361393,0.29041827976259754,0.28936170212765955
2,loeo,gat,functional,2018-02,0.5825991792065663,0.627270531738354,0.5425531914893617
2,loeo,gat,knn,2015-08,0.6316557883888698,0.7969501430116979,0.6978723404255319
2,loeo,gat,knn,2016-06,0.5480565306420945,0.5828760252835319,0.548936170212766
2,loeo,gat,knn,2016-09,0.44194698837618884,0.2889678472077039,0.28936170212765955
2,loeo,gat,knn,2018-02,0.614938440492476,0.6216845118353946,0.5425531914893617
2,loeo,gat,empty,2015-08,0.6458261765716248,0.8113744701909326,0.6978723404255319
2,loeo,gat,empty,2016-06,0.49067573497147876,0.520153851516017,0.548936170212766
2,loeo,gat,empty,2016-09,0.47681842197957025,0.32064907115021535,0.28936170212765955
2,loeo,gat,empty,2018-02,0.7025991792065663,0.7224041664333557,0.5425531914893617
2,loeo,mlp,-,2015-08,0.6676185159738921,0.8205004117472983,0.6978723404255319
2,loeo,mlp,-,2016-06,0.5568597338013749,0.5557185220145973,0.548936170212766
2,loeo,mlp,-,2016-09,0.4741106023247622,0.3088813094007952,0.28936170212765955
2,loeo,mlp,-,2018-02,0.651892384860921,0.657912014507219,0.5425531914893617
2,loeo,lr,-,2015-08,0.6991368945379595,0.8340004955008108,0.6978723404255319
2,loeo,lr,-,2016-06,0.5488152698551996,0.5864335528701874,0.548936170212766
2,loeo,lr,-,2016-09,0.46589908418457204,0.29888008092867624,0.28936170212765955
2,loeo,lr,-,2018-02,0.641860465116279,0.6422092485515871,0.5425531914893617
